tway 2
parameter 6 8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 40 42 
value 2 3 4 5 6 7 8 9 10 
# t = 2
CA(N;2,16,8) 0.920 0.932 0.940 0.950 0.993 1.001 1.038 1.034 1.092 1.118 
CA(N;2,16,9) 0.927 0.931 0.949 0.963 0.989 1.015 1.032 1.044 1.083 1.121 
CA(N;2,16,10) 0.930 0.940 0.950 0.963 0.994 1.005 1.036 1.040 1.090 1.129 
CA(N;2,18,2) 0.731 0.754 0.767 0.795 0.860 0.893 0.933 0.953 1.022 1.079 
CA(N;2,18,3) 0.843 0.852 0.876 0.892 0.929 0.962 0.994 1.018 1.068 1.115 
CA(N;2,18,4) 0.885 0.874 0.896 0.902 0.963 0.990 1.009 1.030 1.081 1.116 
CA(N;2,18,5) 0.891 0.908 0.922 0.930 0.976 0.996 1.017 1.036 1.085 1.129 
CA(N;2,18,6) 0.910 0.919 0.916 0.956 0.972 0.996 1.016 1.043 1.077 1.113 
CA(N;2,18,7) 0.919 0.922 0.931 0.953 0.976 1.008 1.035 1.044 1.072 1.101 
CA(N;2,18,8) 0.933 0.939 0.943 0.958 0.988 1.012 1.035 1.037 1.080 1.128 
CA(N;2,18,9) 0.928 0.937 0.952 0.973 0.992 1.010 1.034 1.041 1.090 1.113 
CA(N;2,18,10) 0.938 0.948 0.953 0.970 0.991 1.016 1.044 1.042 1.090 1.117 
CA(N;2,20,2) 0.736 0.753 0.763 0.804 0.863 0.885 0.932 0.960 1.032 1.097 
CA(N;2,20,3) 0.834 0.863 0.878 0.893 0.939 0.971 1.001 1.022 1.084 1.123 
CA(N;2,20,4) 0.884 0.881 0.903 0.932 0.966 0.996 1.021 1.030 1.075 1.120 
CA(N;2,20,5) 0.904 0.924 0.917 0.945 0.966 0.999 1.016 1.040 1.085 1.125 
CA(N;2,20,6) 0.912 0.917 0.939 0.954 0.975 1.009 1.022 1.031 1.082 1.115 
CA(N;2,20,7) 0.924 0.919 0.942 0.965 0.984 1.012 1.030 1.037 1.078 1.118 
CA(N;2,20,8) 0.928 0.941 0.936 0.962 1.001 1.009 1.028 1.041 1.077 1.115 
CA(N;2,20,9) 0.946 0.939 0.956 0.972 0.997 1.030 1.047 1.048 1.087 1.105 
CA(N;2,20,10) 0.944 0.941 0.967 0.991 1.013 1.016 1.030 1.043 1.097 1.127 
CA(N;2,22,2) 0.727 0.756 0.769 0.809 0.860 0.897 0.930 0.957 1.016 1.085 
CA(N;2,22,3) 0.838 0.843 0.870 0.890 0.928 0.962 0.993 1.030 1.072 1.127 
CA(N;2,22,4) 0.888 0.895 0.907 0.927 0.967 0.993 1.014 1.035 1.080 1.122 
CA(N;2,22,5) 0.905 0.920 0.928 0.950 0.980 1.003 1.016 1.051 1.085 1.119 
CA(N;2,22,6) 0.916 0.935 0.938 0.959 0.974 1.003 1.016 1.049 1.088 1.113 
CA(N;2,22,7) 0.925 0.932 0.956 0.956 0.988 1.019 1.023 1.045 1.084 1.136 
CA(N;2,22,8) 0.942 0.938 0.956 0.962 0.993 1.015 1.042 1.045 1.080 1.109 
CA(N;2,22,9) 0.944 0.956 0.966 0.983 1.009 1.031 1.031 1.045 1.101 1.128 
CA(N;2,22,10) 0.961 0.955 0.966 0.980 1.007 1.026 1.041 1.063 1.086 1.102 
CA(N;2,24,2) 0.733 0.751 0.782 0.804 0.863 0.917 0.943 0.954 1.031 1.092 
CA(N;2,24,3) 0.831 0.863 0.875 0.881 0.940 0.977 0.997 1.015 1.082 1.124 
CA(N;2,24,4) 0.883 0.895 0.915 0.944 0.966 1.001 1.022 1.043 1.085 1.134 
CA(N;2,24,5) 0.913 0.922 0.924 0.953 0.976 1.007 1.018 1.045 1.084 1.117 
CA(N;2,24,6) 0.931 0.925 0.945 0.960 0.985 1.008 1.027 1.048 1.095 1.116 
CA(N;2,24,7) 0.924 0.948 0.958 0.976 1.004 1.024 1.024 1.043 1.090 1.128 
CA(N;2,24,8) 0.939 0.951 0.963 0.984 0.998 1.023 1.055 1.049 1.080 1.125 
CA(N;2,24,9) 0.939 0.946 0.963 0.975 1.009 1.021 1.044 1.048 1.093 1.110 
CA(N;2,24,10) 0.956 0.962 0.967 0.989 1.013 1.029 1.047 1.065 1.094 1.118 
CA(N;2,26,2) 0.737 0.751 0.779 0.818 0.863 0.908 0.933 0.965 1.027 1.070 
CA(N;2,26,3) 0.837 0.871 0.869 0.900 0.937 0.974 0.995 1.000 1.084 1.117 
CA(N;2,26,4) 0.891 0.903 0.914 0.936 0.967 0.996 1.024 1.020 1.093 1.125 
CA(N;2,26,5) 0.912 0.928 0.932 0.959 0.982 0.999 1.033 1.034 1.094 1.139 
CA(N;2,26,6) 0.916 0.922 0.951 0.960 0.991 1.011 1.023 1.057 1.077 1.137 
CA(N;2,26,7) 0.943 0.954 0.949 0.975 1.000 1.025 1.033 1.051 1.077 1.117 
CA(N;2,26,8) 0.946 0.952 0.964 0.981 1.012 1.008 1.042 1.045 1.080 1.129 
CA(N;2,26,9) 0.930 0.953 0.962 0.979 1.010 1.023 1.038 1.060 1.092 1.123 
CA(N;2,26,10) 0.961 0.962 0.973 0.988 1.006 1.019 1.049 1.065 1.091 1.117 
CA(N;2,28,2) 0.754 0.766 0.775 0.828 0.873 0.910 0.938 0.958 1.030 1.077 
CA(N;2,28,3) 0.846 0.868 0.860 0.896 0.947 0.957 1.009 1.015 1.079 1.123 
CA(N;2,28,4) 0.885 0.910 0.916 0.935 0.966 0.999 1.013 1.028 1.089 1.136 
CA(N;2,28,5) 0.908 0.925 0.930 0.953 0.978 1.012 1.031 1.043 1.081 1.122 
CA(N;2,28,6) 0.928 0.940 0.948 0.974 0.991 1.013 1.039 1.043 1.084 1.128 
CA(N;2,28,7) 0.945 0.949 0.968 0.965 0.991 1.031 1.039 1.053 1.096 1.106 
CA(N;2,28,8) 0.945 0.959 0.952 0.980 1.003 1.019 1.036 1.055 1.091 1.122 
CA(N;2,28,9) 0.956 0.977 0.979 0.991 1.012 1.033 1.036 1.052 1.080 1.125 
CA(N;2,28,10) 0.960 0.973 0.979 0.997 1.023 1.038 1.039 1.052 1.089 1.111 
CA(N;2,30,2) 0.734 0.753 0.781 0.810 0.878 0.909 0.938 0.961 1.027 1.085 
CA(N;2,30,3) 0.854 0.855 0.883 0.892 0.938 0.977 0.995 1.022 1.071 1.112 
CA(N;2,30,4) 0.903 0.915 0.904 0.943 0.983 1.004 1.020 1.045 1.079 1.119 
CA(N;2,30,5) 0.906 0.923 0.941 0.955 0.983 1.015 1.034 1.041 1.082 1.111 
CA(N;2,30,6) 0.930 0.944 0.954 0.968 1.010 1.016 1.031 1.042 1.090 1.116 
CA(N;2,30,7) 0.951 0.944 0.970 0.978 1.009 1.025 1.035 1.052 1.091 1.122 
CA(N;2,30,8) 0.950 0.954 0.965 0.987 1.012 1.033 1.047 1.052 1.080 1.116 
CA(N;2,30,9) 0.952 0.974 0.972 0.982 1.012 1.026 1.042 1.064 1.093 1.118 
CA(N;2,30,10) 0.959 0.969 0.969 0.999 1.018 1.032 1.049 1.050 1.084 1.121 
CA(N;2,32,2) 0.758 0.759 0.785 0.801 0.861 0.915 0.928 0.949 1.025 1.086 
CA(N;2,32,3) 0.861 0.865 0.870 0.901 0.942 0.974 1.006 1.030 1.083 1.112 
CA(N;2,32,4) 0.892 0.909 0.926 0.943 0.965 0.993 1.018 1.032 1.108 1.126 
CA(N;2,32,5) 0.913 0.933 0.937 0.966 0.991 1.011 1.029 1.043 1.095 1.114 
CA(N;2,32,6) 0.931 0.947 0.956 0.978 1.008 1.014 1.035 1.054 1.098 1.119 
CA(N;2,32,7) 0.928 0.948 0.958 0.983 1.003 1.029 1.037 1.052 1.082 1.131 
CA(N;2,32,8) 0.953 0.952 0.974 0.998 1.017 1.029 1.038 1.062 1.084 1.119 
CA(N;2,32,9) 0.961 0.969 0.973 0.997 1.007 1.043 1.053 1.053 1.091 1.112 
